@relation trainingData

@attribute AF012024_s_at numeric
@attribute D26156_s_at numeric
@attribute D38073_at numeric
@attribute D49950_at numeric
@attribute D63874_at numeric
@attribute D63880_at numeric
@attribute HG1612-HT1612_at numeric
@attribute J05243_at numeric
@attribute L08246_at numeric
@attribute L13278_at numeric
@attribute L47738_at numeric
@attribute L49229_f_at numeric
@attribute M11147_at numeric
@attribute M13792_at numeric
@attribute M16038_at numeric
@attribute M19045_f_at numeric
@attribute M21551_rna1_at numeric
@attribute M23197_at numeric
@attribute M27891_at numeric
@attribute M28130_rna1_s_at numeric
@attribute M28170_at numeric
@attribute M31211_s_at numeric
@attribute M31303_rna1_at numeric
@attribute M31523_at numeric
@attribute M55150_at numeric
@attribute M57710_at numeric
@attribute M62762_at numeric
@attribute M63138_at numeric
@attribute M69043_at numeric
@attribute M80254_at numeric
@attribute M81695_s_at numeric
@attribute M81933_at numeric
@attribute M83652_s_at numeric
@attribute M84526_at numeric
@attribute M91432_at numeric
@attribute M92287_at numeric
@attribute M96326_rna1_at numeric
@attribute S50223_at numeric
@attribute U05259_rna1_at numeric
@attribute U09087_s_at numeric
@attribute U12471_cds1_at numeric
@attribute U20998_at numeric
@attribute U22376_cds2_s_at numeric
@attribute U26266_s_at numeric
@attribute U29175_at numeric
@attribute U32944_at numeric
@attribute U35451_at numeric
@attribute U46751_at numeric
@attribute U50136_rna1_at numeric
@attribute U72342_at numeric
@attribute U82759_at numeric
@attribute X04085_rna1_at numeric
@attribute X14008_rna1_f_at numeric
@attribute X15949_at numeric
@attribute X17042_at numeric
@attribute X52142_at numeric
@attribute X56411_rna1_at numeric
@attribute X59417_at numeric
@attribute X63469_at numeric
@attribute X74262_at numeric
@attribute X76648_at numeric
@attribute X85116_rna1_s_at numeric
@attribute X95735_at numeric
@attribute X97267_rna1_s_at numeric
@attribute Y00787_s_at numeric
@attribute Y08612_at numeric
@attribute Y12670_at numeric
@attribute Z15115_at numeric
@attribute Z69881_at numeric
@attribute class { ALL, AML}

@data
257,1595,994,75,4157,556,3767,610,543,193,571,337,5418,3221,365,382,178,261,303,292,397,601,3828,1320,654,20,835,1410,1489,20,695,20,20,20,767,4778,782,268,9326,358,160,1753,3105,289,1582,3349,408,1298,1124,978,393,1057,557,277,177,107,178,3016,460,1372,1361,162,298,2323,333,517,600,8444,1766,ALL
46,822,539,129,11557,476,2890,927,2972,31,2893,131,16000,10954,624,3606,336,101,1358,2062,20,435,3021,898,1283,2171,3072,2325,6084,109,812,20,364,20,814,2700,368,346,895,82,134,1602,1118,288,624,1002,633,1379,1062,324,118,1395,2716,104,3460,20,183,3424,151,1184,237,169,307,1238,5345,351,337,1920,2015,ALL
139,1452,1441,44,12125,498,5996,1697,485,198,2723,529,6156,16000,108,2997,345,309,254,20,183,547,7247,597,1286,20,609,2789,2281,20,810,124,20,20,1547,4926,1268,804,628,263,167,2761,4543,447,753,2089,912,1496,1398,855,667,823,1716,91,416,20,166,7724,230,2221,1240,20,309,1982,301,214,574,3118,3556,ALL
168,654,680,218,8484,1211,2810,425,740,91,731,422,7070,5364,873,1331,374,288,20,20,363,472,3780,1644,915,22,935,1132,2178,20,599,167,34,20,831,5403,882,452,5314,218,104,1486,5467,424,743,1625,304,1401,942,369,410,1655,1143,403,392,190,131,3821,314,1051,992,199,693,3947,241,432,716,4261,828,ALL
94,1011,950,110,9575,820,2206,529,2453,194,649,354,9017,2837,686,3069,321,395,20,138,251,661,3563,1322,732,244,1665,1269,1094,139,282,114,218,290,1423,3440,949,476,5354,186,145,2298,3469,364,626,3502,398,1894,928,653,119,2000,2917,416,7972,361,141,5216,632,1370,1233,334,713,3324,93,596,524,3425,1496,ALL
197,1584,1258,33,5315,485,3881,1682,375,96,1858,327,6221,16000,302,2850,44,58,1168,23,74,337,4890,787,691,108,499,1854,1513,46,711,56,401,20,430,3179,910,256,282,209,81,1013,3309,320,1157,316,506,528,842,449,147,537,3300,46,597,26,151,4194,181,1306,401,117,247,1710,215,220,270,1790,2606,ALL
188,578,509,115,6270,734,3723,386,961,178,280,354,4746,6067,325,1201,359,84,20,107,280,309,3330,946,853,20,764,2735,2866,20,556,203,255,20,764,3978,826,208,5146,144,122,898,3936,381,552,1530,357,1747,1066,638,735,6133,830,267,403,191,245,5528,213,1339,821,378,52,1488,159,196,463,3810,473,ALL
61,1024,331,32,4566,223,4072,629,404,112,1716,232,7881,3103,244,1947,364,251,20,20,235,263,4213,1917,1238,674,1323,1962,2129,20,1281,20,20,20,752,3293,1302,310,4048,167,335,1586,4745,53,572,1042,134,1514,1668,361,248,775,1683,314,140,179,77,2073,227,655,1012,571,20,2215,455,436,689,6153,2067,ALL
269,1297,1974,20,10061,686,7439,2760,783,198,2388,568,9431,15235,273,2629,333,155,336,104,24,978,7230,1440,822,103,1741,2900,3862,94,746,124,521,20,1777,7324,1337,640,423,385,131,2334,4081,869,1776,2286,982,803,966,576,258,633,1965,210,848,240,205,7782,362,3593,929,20,20,3420,445,513,262,3303,4461,ALL
99,971,664,54,7194,721,4791,1722,1288,20,913,20,5092,8982,144,2148,271,167,498,20,20,752,5052,442,885,252,1188,1855,1974,45,513,89,20,20,426,2676,82,152,585,146,264,878,1658,403,756,934,613,1939,1175,99,409,463,1781,97,1094,96,119,5204,47,1058,330,176,492,723,522,114,167,1329,1777,ALL
